,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,bama,99,NG,1604712585,39,11.52,13.69,70.68,4.68
1,ancud,100,CL,1604712585,76,-41.87,-73.82,51.01,10.29
2,new norfolk,75,LR,1604712586,94,6.65,-10.59,78.8,1.52
3,tuban,24,ID,1604712586,69,-6.9,112.06,83.77,7.56
4,asau,12,RO,1604712325,92,46.43,26.4,45.0,3.65
5,taldan,100,RU,1604712586,97,53.67,124.8,20.07,5.75
6,mayo,1,US,1604712586,100,38.89,-76.51,55.99,5.79
7,yellowknife,40,CA,1604712422,91,62.46,-114.35,7.0,6.93
8,butaritari,100,KI,1604712586,75,3.07,172.79,81.3,14.25
9,kavaratti,20,IN,1604712586,76,10.57,72.64,82.53,7.49
10,cidreira,1,BR,1604712586,83,-30.18,-50.21,67.53,15.93
11,gikongoro,100,RW,1604712586,83,-2.46,29.57,59.54,2.95
12,punta arenas,100,PH,1604712587,84,8.99,125.34,80.67,5.23
13,constitucion,0,CL,1604712318,75,-35.33,-72.42,54.82,12.93
14,avarua,0,CK,1604712587,78,-21.21,-159.78,77.0,4.7
15,stornoway,20,GB,1604712587,93,58.21,-6.39,41.0,1.12
16,kavieng,80,PG,1604712587,75,-2.57,150.8,84.74,13.09
17,fortuna,75,US,1604712334,81,40.6,-124.16,51.01,12.75
18,atuona,90,PF,1604712330,75,-9.8,-139.03,78.39,14.99
19,cape town,0,CL,1604712587,59,-36.41,-71.9,64.4,4.7
20,port elizabeth,2,CD,1604712587,66,-7.03,29.76,74.59,5.88
21,balabac,83,PH,1604712588,78,7.99,117.06,82.58,11.21
22,upernavik,0,GL,1604712588,76,72.79,-56.15,-2.07,7.31
23,iqaluit,75,CA,1604712588,70,63.75,-68.51,1.4,25.28
24,busselton,0,AU,1604712588,61,-33.65,115.33,70.0,4.0
25,rikitea,24,PF,1604712589,75,-23.12,-134.97,71.49,17.98
26,mar del plata,40,ES,1604712589,60,43.4,-4.01,68.0,6.93
27,thompson,90,CA,1604712336,92,55.74,-97.86,14.0,2.24
28,kahului,40,US,1604712442,55,20.89,-156.47,87.8,12.75
29,halden,1,NO,1604712590,100,59.12,11.39,41.0,6.93
30,esperance,40,AU,1604712590,72,-33.87,121.9,59.0,14.99
31,qaanaaq,95,GL,1604712590,78,77.48,-69.36,-6.27,8.23
32,vaini,40,TO,1604712315,69,-21.2,-175.2,80.6,9.17
33,port alfred,2,CD,1604712590,66,-7.03,29.76,74.59,5.88
34,ushuaia,75,AR,1604712590,32,-54.8,-68.3,53.6,9.17
35,castro,0,BR,1604712332,91,-24.79,-50.01,54.55,8.25
36,saryozek,0,KZ,1604712591,52,44.36,77.98,39.79,6.15
37,bluff,100,NZ,1604712591,83,-46.6,168.33,46.98,10.33
38,barrow,90,US,1604712591,85,71.29,-156.79,14.0,9.17
39,marondera,86,ZW,1604712591,55,-18.19,31.55,66.31,5.03
40,georgetown,20,MY,1604712591,83,5.41,100.34,82.4,3.36
41,albany,30,US,1604712559,52,42.6,-73.97,55.99,5.41
42,shasta lake,76,US,1604712591,62,40.77,-122.03,48.99,1.01
43,saskylakh,83,RU,1604712320,92,71.92,114.08,-2.49,1.59
44,jega,0,NG,1604712592,28,12.22,4.38,77.36,9.31
45,hue,75,VN,1604712592,94,16.47,107.6,75.2,4.7
46,kapaa,40,US,1604712592,74,22.08,-159.32,82.4,11.41
47,uarini,100,BR,1604712592,87,-2.99,-65.11,75.67,1.77
48,tasiilaq,100,GL,1604712592,79,65.61,-37.64,28.4,16.11
49,kaeo,59,NZ,1604712592,94,-35.1,173.78,66.99,7.0
50,mahebourg,75,MU,1604712593,88,-20.41,57.7,69.8,3.36
51,saint-philippe,0,RE,1604712593,68,-21.36,55.77,69.8,6.93
52,kudahuvadhoo,13,MV,1604712593,69,2.67,72.89,82.36,2.8
53,lompoc,20,US,1604712294,67,34.64,-120.46,57.2,19.46
54,mataura,99,NZ,1604712593,77,-46.19,168.86,52.27,9.48
55,san patricio,0,ML,1604712593,24,13.3,-4.9,81.86,8.99
56,hermanus,89,ZA,1604712593,91,-34.42,19.23,55.99,7.0
57,indergarh,0,IN,1604712593,29,26.94,79.67,63.75,3.69
58,isangel,75,VU,1604712593,66,-19.55,169.27,86.0,5.82
59,itaituba,100,BR,1604712594,94,-4.28,-55.98,75.49,2.21
60,timmins,20,CA,1604712449,93,48.47,-81.33,39.2,2.24
61,caravelas,100,BR,1604712594,88,-17.71,-39.25,73.22,5.5
62,norman wells,1,US,1604712594,72,35.22,-97.44,66.2,10.29
63,puro,100,PH,1604712595,81,12.48,123.38,80.87,7.4
64,samana,96,DO,1604712595,86,19.21,-69.34,75.4,4.27
65,cairns,0,AU,1604712595,58,-16.92,145.77,89.01,8.05
66,tuatapere,100,NZ,1604712595,90,-46.13,167.68,45.12,7.67
67,villa rica,0,IT,1604712595,85,46.2,10.13,52.0,3.04
68,maloy,100,NO,1604712595,81,61.94,5.11,50.0,14.99
69,half moon bay,75,LR,1604712595,94,6.38,-10.7,78.8,4.27
70,zhigansk,76,RU,1604712596,89,66.77,123.37,-13.63,4.38
71,lorengau,100,PG,1604712596,72,-2.02,147.27,85.32,11.23
72,jamestown,1,US,1604712394,54,42.1,-79.24,57.2,9.17
73,santa fe,93,PH,1604712596,75,17.49,120.43,81.36,3.83
74,havre-saint-pierre,90,CA,1604712596,100,50.23,-63.6,33.8,10.29
75,carnarvon,90,AU,1604712356,83,-24.87,113.63,73.4,16.11
76,san ramon,0,ML,1604712519,24,13.3,-4.9,81.86,8.99
77,beni suef,100,CD,1604712596,99,0.5,29.47,62.51,1.19
78,cayenne,0,GF,1604712596,100,4.93,-52.33,75.2,2.24
79,margate,0,GB,1604712352,72,51.38,1.39,51.01,1.99
80,hudson bay,1,US,1604712326,55,40.72,-74.07,66.2,6.93
81,vardo,28,NO,1604712597,72,70.37,31.11,41.2,24.76
82,alice springs,1,US,1604712378,73,27.75,-98.07,71.6,8.05
83,saint-georges,20,GD,1604712597,88,12.06,-61.75,82.4,12.75
84,novikovo,93,RU,1604712597,83,51.15,37.89,40.8,9.33
85,ghanzi,6,BW,1604712597,23,-21.57,21.78,75.15,8.95
86,zeya,100,RU,1604712598,94,53.75,127.27,23.29,2.46
87,naryan-mar,100,RU,1604712598,98,67.67,53.09,34.47,4.54
88,puerto ayora,40,ES,1604712598,77,36.59,-6.23,62.6,9.17
89,kodiak,1,US,1604712598,75,57.79,-152.41,42.8,4.7
90,sri aman,0,MA,1604712598,82,30.04,-8.8,60.8,5.82
91,codrington,96,AU,1604712598,62,-38.27,141.97,54.64,12.97
92,clyde river,15,US,1604712599,68,41.3,-82.98,60.01,10.09
93,longyearbyen,75,SJ,1604712599,80,78.22,15.64,33.8,13.87
